sampleid	group	date	time	habitat	access_trash	Year	Time_filter
PANU-RWA-19-KA-S21B_S263	Bourbon	15-Jun-16	16:01	Open_grassland__woodland	Limited_access_to_trash	2016	no
PANU-RWA-19-KA-S22B_S264	Bourbon	15-Jun-16	16:02	Open_grassland__woodland	Limited_access_to_trash	2016	no
PANU-RWA-19-KA-S25B_S265	Bourbon	15-Jun-16	16:21	Open_grassland__woodland	Limited_access_to_trash	2016	no
PANU-RWA-19-KA-S26B_S266	Bourbon	15-Jun-16	16:26	Open_grassland__woodland	Limited_access_to_trash	2016	no
PANU-RWA-19-KA-S27B_S267	Bourbon	15-Jun-16	16:26	Open_grassland__woodland	Limited_access_to_trash	2016	no
PANU-RWA-19-KA-S28B_S274	Bourbon	15-Jun-16	16:27	Open_grassland__woodland	Limited_access_to_trash	2016	no
PANU-RWA-19-KA-S30B_S275	Bourbon	15-Jun-16	16:30	Open_grassland__woodland	Limited_access_to_trash	2016	no
PANU-RWA-KA-19-20B-16_S17	Bourbon	15-Jun-16	16:00	Open_grassland__woodland	Limited_access_to_trash	2016	no
PANU-RWA-KA-19-23B-16_S20	Bourbon	15-Jun-16	16:15	Open_grassland__woodland	Limited_access_to_trash	2016	no
PANU-RWA-KA-19-24B-16_S27	Bourbon	15-Jun-16	16:17	Open_grassland__woodland	Limited_access_to_trash	2016	no
PANU-RWA-KA-19-29B-16_S24	Bourbon	15-Jun-16	16:28	Open_grassland__woodland	Limited_access_to_trash	2016	no
PANU-RWA-19-KA-S36L_S260	Lodge	16-Jun-16	10:27	Lodge_trash-eating_group__woodland	Unlimited_access_to_trash	2016	yes
PANU-RWA-19-KA-S37L_S261	Lodge	16-Jun-16	10:29	Lodge_trash-eating_group__woodland	Unlimited_access_to_trash	2016	yes
PANU-RWA-19-KA-S39L_S262	Lodge	16-Jun-16	10:41	Lodge_trash-eating_group__woodland	Unlimited_access_to_trash	2016	yes
PANU-RWA-KA-19-38L-16_S13	Lodge	16-Jun-16	10:31	Lodge_trash-eating_group__woodland	Unlimited_access_to_trash	2016	yes
PANU-RWA-KA-19-40L-16_S7	Lodge	16-Jun-16	10:45	Lodge_trash-eating_group__woodland	Unlimited_access_to_trash	2016	yes
PANU-RWA-KA-19-40L-18_S1	Lodge	16-Jun-16	10:45	Lodge_trash-eating_group__woodland	Unlimited_access_to_trash	2016	yes
PANU-RWA-KA-19-42L-16_S15	Lodge	16-Jun-16	10:50	Lodge_trash-eating_group__woodland	Unlimited_access_to_trash	2016	yes
PANU-RWA-KA-19-43L-16_S22	Lodge	16-Jun-16	10:53	Lodge_trash-eating_group__woodland	Unlimited_access_to_trash	2016	yes
PANU-RWA-19-KA-S84P_S251	Pharaoh	12-Jul-16	15:42	Savannah__open_grassland__semi-woodland	No_access_to_trash	2016	yes
PANU-RWA-19-KA-S89P_S252	Pharaoh	12-Jul-16	16:15	Savannah__open_grassland__semi-woodland	No_access_to_trash	2016	yes
PANU-RWA-19-KA-S95P_S253	Pharaoh	12-Jul-16	16:15	Savannah__open_grassland__semi-woodland	No_access_to_trash	2016	yes
PANU-RWA-KA-19-100P-16_S40	Pharaoh	12-Jul-16	16:48	Savannah__open_grassland__semi-woodland	No_access_to_trash	2016	yes
PANU-RWA-KA-19-85P-16_S19	Pharaoh	12-Jul-16	15:58	Savannah__open_grassland__semi-woodland	No_access_to_trash	2016	yes
PANU-RWA-KA-19-86P-16_S16	Pharaoh	12-Jul-16	16:11	Savannah__open_grassland__semi-woodland	No_access_to_trash	2016	yes
PANU-RWA-KA-19-87P-16_S29	Pharaoh	12-Jul-16	16:13	Savannah__open_grassland__semi-woodland	No_access_to_trash	2016	yes
PANU-RWA-KA-19-88P-16_S14	Pharaoh	12-Jul-16	16:14	Savannah__open_grassland__semi-woodland	No_access_to_trash	2016	yes
PANU-RWA-KA-19-90P-16_S30	Pharaoh	12-Jul-16	16:16	Savannah__open_grassland__semi-woodland	No_access_to_trash	2016	yes
PANU-RWA-KA-19-91P-16_S31	Pharaoh	12-Jul-16	16:20	Savannah__open_grassland__semi-woodland	No_access_to_trash	2016	yes
PANU-RWA-KA-19-92P-16_S33	Pharaoh	12-Jul-16	16:25	Savannah__open_grassland__semi-woodland	No_access_to_trash	2016	yes
PANU-RWA-KA-19-93P-16_S34	Pharaoh	12-Jul-16	16:26	Savannah__open_grassland__semi-woodland	No_access_to_trash	2016	yes
PANU-RWA-KA-19-96P-16_S36	Pharaoh	12-Jul-16	16:32	Savannah__open_grassland__semi-woodland	No_access_to_trash	2016	yes
PANU-RWA-KA-19-97P-16_S37	Pharaoh	12-Jul-16	16:45	Savannah__open_grassland__semi-woodland	No_access_to_trash	2016	yes
PANU-RWA-KA-19-98P-16_S38	Pharaoh	12-Jul-16	16:46	Savannah__open_grassland__semi-woodland	No_access_to_trash	2016	yes
PANU-RWA-KA-19-99P-16_S39	Pharaoh	12-Jul-16	16:47	Savannah__open_grassland__semi-woodland	No_access_to_trash	2016	yes
PANU-RWA-KA-19-75T-16_S65	Tribe	10-Jul-16	15:23	Swamp__open_grassland__partial_woodland	No_access_to_trash	2016	yes
PANU-RWA-KA-19-76T-16_S66	Tribe	10-Jul-16	15:23	Swamp__open_grassland__partial_woodland	No_access_to_trash	2016	yes
PANU-RWA-KA-19-77T-16_S67	Tribe	10-Jul-16	15:27	Swamp__open_grassland__partial_woodland	No_access_to_trash	2016	yes
PANU-RWA-KA-19-78T-16_S68	Tribe	10-Jul-16	15:35	Swamp__open_grassland__partial_woodland	No_access_to_trash	2016	yes
PANU-RWA-KA-19-79T-16_S69	Tribe	10-Jul-16	15:40	Swamp__open_grassland__partial_woodland	No_access_to_trash	2016	yes
PANU-RWA-KA-19-47W-16_S76	Water	19-Jun-16	16:25	Swamp__open_grassland__partial_woodland	Limited_access_to_trash	2016	yes
PANU-RWA-KA-19-48W-16_S77	Water	19-Jun-16	16:29	Swamp__open_grassland__partial_woodland	Limited_access_to_trash	2016	yes
PANU-RWA-KA-19-49W-16_S78	Water	19-Jun-16	16:35	Swamp__open_grassland__partial_woodland	Limited_access_to_trash	2016	yes
PANU-RWA-KA-19-50W-16_S80	Water	19-Jun-16	16:37	Swamp__open_grassland__partial_woodland	Limited_access_to_trash	2016	yes
